product_id,product_name,category,subcategory,brand,unit_cost,unit_price,created_at
PROD00056,Zenith Storage Lite,Furniture,Storage,Zenith,227.12,429.06,2022-12-16
PROD00057,Beacon Storage Lite,Furniture,Storage,Beacon,331.0,673.56,2022-12-06
PROD00058,Zenith Storage Standard,Furniture,Storage,Zenith,308.13,566.95,2023-01-08
PROD00059,Pioneer Storage Plus,Furniture,Storage,Pioneer,50.04,99.25,2022-01-03
PROD00060,Beacon Paper Classic,Office Supplies,Paper,Beacon,332.8,721.51,2023-07-15
PROD00061,Zenith Paper Plus,Office Supplies,Paper,Zenith,152.69,213.11,2023-05-20
PROD00062,Vertex Paper Lite,Office Supplies,Paper,Vertex,329.63,648.8,2022-04-20
PROD00063,Cascade Paper Lite,Office Supplies,Paper,Cascade,246.29,361.75,2022-08-09
PROD00064,Pioneer Paper Classic,Office Supplies,Paper,Pioneer,330.7,486.63,2022-04-21
PROD00065,Orbital Paper Standard,Office Supplies,Paper,Orbital,23.37,43.7,2022-05-07
PROD00066,Pioneer Binder Plus,Office Supplies,Binders,Pioneer,265.09,572.75,2023-05-26
PROD00067,Northwind Binder Lite,Office Supplies,Binders,Northwind,214.49,288.21,2023-08-23
PROD00068,Pioneer Binder Plus,Office Supplies,Binders,Pioneer,370.13,741.36,2023-08-16
PROD00069,Vertex Binder Lite,Office Supplies,Binders,Vertex,293.55,415.53,2022-11-26
PROD00070,Zenith Binder Max,Office Supplies,Binders,Zenith,353.15,592.16,2022-09-12
PROD00071,Cascade Binder Classic,Office Supplies,Binders,Cascade,162.16,260.85,2023-04-09
PROD00072,Vertex Binder Standard,Office Supplies,Binders,Vertex,59.58,109.76,2023-06-09
PROD00073,Zenith Pens & Pencil Max,Office Supplies,Pens & Pencils,Zenith,344.98,669.5,2022-08-11
PROD00074,Lumen Pens & Pencil Standard,Office Supplies,Pens & Pencils,Lumen,87.84,170.67,2022-12-20
PROD00075,Vertex Pens & Pencil Plus,Office Supplies,Pens & Pencils,Vertex,392.63,740.14,2023-05-31
PROD00076,Zenith Pens & Pencil Pro,Office Supplies,Pens & Pencils,Zenith,279.25,444.05,2022-12-27
PROD00077,Zenith Pens & Pencil Standard,Office Supplies,Pens & Pencils,Zenith,194.75,353.19,2023-03-04
PROD00078,Zenith Pens & Pencil Pro,Office Supplies,Pens & Pencils,Zenith,117.94,243.26,2023-06-20
PROD00079,Northwind Label Pro,Office Supplies,Labels,Northwind,155.44,209.5,2022-07-24
PROD00080,Cascade Label Classic,Office Supplies,Labels,Cascade,301.32,435.36,2022-09-14
PROD00081,Vertex Label Classic,Office Supplies,Labels,Vertex,336.56,646.71,2022-07-28
PROD00082,Zenith Label Pro,Office Supplies,Labels,Zenith,17.76,36.1,2023-07-30
PROD00083,Zenith Envelope Standard,Office Supplies,Envelopes,Zenith,158.61,279.13,2022-10-22
PROD00084,Northwind Envelope Standard,Office Supplies,Envelopes,Northwind,370.96,611.64,2022-11-17
PROD00085,Zenith Envelope Plus,Office Supplies,Envelopes,Zenith,26.25,51.69,2023-03-30
PROD00086,Lumen Envelope Standard,Office Supplies,Envelopes,Lumen,365.04,706.05,2023-01-12
PROD00087,Harbor Envelope Standard,Office Supplies,Envelopes,Harbor,220.91,407.15,2022-07-18
PROD00088,Pioneer Men's Wear Plus,Apparel,Men's Wear,Pioneer,75.08,143.73,2022-06-27
PROD00089,Zenith Men's Wear Classic,Apparel,Men's Wear,Zenith,52.14,69.69,2023-07-24
PROD00090,Cascade Men's Wear Classic,Apparel,Men's Wear,Cascade,56.38,102.93,2022-01-06
PROD00091,Beacon Men's Wear Pro,Apparel,Men's Wear,Beacon,189.2,405.6,2022-06-07
PROD00092,Beacon Men's Wear Standard,Apparel,Men's Wear,Beacon,240.77,480.65,2022-11-05
PROD00093,Pioneer Men's Wear Pro,Apparel,Men's Wear,Pioneer,317.01,569.08,2022-11-22
PROD00094,Vertex Women's Wear Plus,Apparel,Women's Wear,Vertex,210.64,422.89,2023-03-02
PROD00095,Zenith Women's Wear Plus,Apparel,Women's Wear,Zenith,217.13,300.24,2022-08-07
PROD00096,Beacon Women's Wear Max,Apparel,Women's Wear,Beacon,135.77,212.37,2023-06-28
PROD00097,Pioneer Women's Wear Standard,Apparel,Women's Wear,Pioneer,398.67,813.81,2022-01-10
PROD00098,Aster Women's Wear Standard,Apparel,Women's Wear,Aster,269.23,457.99,2022-09-07
PROD00099,Beacon Footwear Pro,Apparel,Footwear,Beacon,155.64,313.86,2023-01-31
PROD00100,Cascade Footwear Max,Apparel,Footwear,Cascade,218.39,339.5,2023-01-19
PROD00101,Zenith Footwear Pro,Apparel,Footwear,Zenith,322.11,547.91,2022-10-31
PROD00102,Lumen Footwear Pro,Apparel,Footwear,Lumen,131.52,180.72,2022-06-21
PROD00103,Aster Outerwear Plus,Apparel,Outerwear,Aster,88.26,164.74,2023-03-11
PROD00104,Aster Outerwear Standard,Apparel,Outerwear,Aster,86.2,176.35,2023-03-22
PROD00105,Aster Outerwear Lite,Apparel,Outerwear,Aster,300.02,431.54,2022-12-06
PROD00106,Northwind Outerwear Classic,Apparel,Outerwear,Northwind,39.57,53.37,2023-07-26
PROD00107,Harbor Accessorie Lite,Apparel,Accessories,Harbor,329.54,698.59,2023-02-02
PROD00108,Pioneer Accessorie Pro,Apparel,Accessories,Pioneer,253.94,429.09,2023-02-03
PROD00109,Aster Accessorie Max,Apparel,Accessories,Aster,216.26,405.98,2022-03-06
PROD00110,Harbor Accessorie Classic,Apparel,Accessories,Harbor,22.98,47.42,2023-05-30
PROD00111,Cascade Cookware Pro,Home & Kitchen,Cookware,Cascade,315.82,496.22,2022-10-16
PROD00112,Pioneer Cookware Pro,Home & Kitchen,Cookware,Pioneer,155.66,317.53,2023-05-01
PROD00113,Vertex Cookware Lite,Home & Kitchen,Cookware,Vertex,215.72,306.91,2023-07-13
PROD00114,Cascade Cookware Standard,Home & Kitchen,Cookware,Cascade,384.25,549.35,2023-01-18
PROD00115,Zenith Small Appliance Pro,Home & Kitchen,Small Appliances,Zenith,350.53,500.29,2022-01-06
PROD00116,Harbor Small Appliance Pro,Home & Kitchen,Small Appliances,Harbor,240.68,429.24,2022-11-09
PROD00117,Lumen Small Appliance Classic,Home & Kitchen,Small Appliances,Lumen,300.58,635.18,2022-08-05
PROD00118,Orbital Small Appliance Plus,Home & Kitchen,Small Appliances,Orbital,362.72,749.49,2022-06-14
PROD00119,Lumen Dinnerware Pro,Home & Kitchen,Dinnerware,Lumen,248.67,379.84,2022-07-05
PROD00120,Harbor Dinnerware Max,Home & Kitchen,Dinnerware,Harbor,341.64,705.91,2023-04-18
PROD00121,Zenith Dinnerware Classic,Home & Kitchen,Dinnerware,Zenith,33.89,64.54,2022-04-11
PROD00122,Lumen Dinnerware Classic,Home & Kitchen,Dinnerware,Lumen,291.61,506.96,2023-01-01
PROD00123,Vertex Dinnerware Classic,Home & Kitchen,Dinnerware,Vertex,270.16,408.23,2022-03-13
PROD00124,Beacon Storage Standard,Home & Kitchen,Storage,Beacon,196.92,314.19,2022-11-10
PROD00125,Harbor Storage Classic,Home & Kitchen,Storage,Harbor,65.2,118.02,2023-03-15
PROD00126,Vertex Storage Plus,Home & Kitchen,Storage,Vertex,6.91,10.51,2023-03-23
PROD00127,Cascade Storage Standard,Home & Kitchen,Storage,Cascade,336.84,478.61,2022-12-06
PROD00128,Pioneer Storage Classic,Home & Kitchen,Storage,Pioneer,187.83,304.82,2023-05-14
PROD00129,Vertex Decor Classic,Home & Kitchen,Decor,Vertex,259.99,357.17,2022-05-24
PROD00130,Zenith Decor Standard,Home & Kitchen,Decor,Zenith,82.59,161.89,2022-03-20
PROD00131,Aster Decor Standard,Home & Kitchen,Decor,Aster,357.38,737.86,2022-02-01
PROD00132,Harbor Decor Plus,Home & Kitchen,Decor,Harbor,233.67,465.54,2022-02-07
